block_id,x,y,z,tonnage_kt,ore_grade_pct,waste_ratio,mining_cost_t,processing_cost_t,revenue_per_t,slope_constraint,period_available,ghg_kg_co2_per_t,stripping_ratio,npv_per_t,npv_expected,npv_std,npv_cv
B0181,800,0,-30,664.8,0.702,2.61,5.03,11.05,72.28,2,9,25.58,2.38,56.2,36886219.13690387,7390246.672028819,0.200352512264805
B0182,500,100,-100,559.5,0.712,4.25,3.51,12.12,71.63,2,8,31.81,2.33,56.0,31624305.17513823,5991609.299260205,0.1894621641828377
B0183,350,0,-80,650.0,0.751,1.87,2.96,12.75,99.65,1,6,23.64,1.7,83.94,55031003.79404627,8995343.554263836,0.16345955795989
B0184,50,150,-30,591.8,0.719,2.25,3.7,12.32,83.35,1,5,22.32,2.22,67.33,39509446.75245039,7442613.021963778,0.1883755312646129
B0185,350,450,-40,592.8,0.671,1.15,4.88,8.23,52.74,1,3,22.85,2.19,39.63,23279420.652040444,4533324.645284922,0.1947352862876153
B0186,750,700,-100,554.6,0.527,0.5,4.29,8.69,81.65,1,3,23.18,2.83,68.67,38111156.78931658,6061511.566751419,0.1590482178292367
B0187,200,400,-70,446.7,0.741,3.67,3.65,13.99,102.63,3,7,26.92,0.69,84.99,37857581.92383544,6405036.590280469,0.1691876835442521
B0188,350,650,-60,649.1,0.909,1.64,4.55,10.43,104.97,3,1,31.39,2.08,89.99,56992867.13427912,9611749.53667407,0.1686482891627144
B0189,50,800,-60,474.3,0.616,2.54,4.29,9.84,91.6,3,10,34.71,4.81,77.47,35954273.75672937,6305079.091433862,0.175363828347493
B0190,950,950,-60,575.0,1.044,1.33,4.26,13.74,72.98,1,6,32.66,2.77,54.98,31255504.828470357,5635414.474538132,0.1803015022622474
B0191,600,950,-70,352.2,0.523,3.39,3.54,13.31,86.94,2,5,24.25,2.29,70.09,24399100.04923852,4641547.503682904,0.1902343731660612
B0192,550,0,-20,555.5,0.55,2.25,4.62,9.01,92.03,2,1,19.7,2.76,78.4,44387296.426978685,7788588.391208606,0.1754688619979721
B0193,100,550,-100,616.7,0.505,2.71,3.74,14.22,112.01,3,5,24.54,2.04,94.05,58649839.15583533,10487585.479873586,0.1788169521148657
B0194,100,900,-40,409.2,1.003,2.35,4.99,10.72,70.81,3,3,27.2,3.63,55.1,22742931.82504293,4363889.39611385,0.1918789287891475
B0195,50,200,-100,538.5,0.756,3.3,3.37,9.03,76.93,1,6,35.6,2.9,64.53,34958284.41725798,6276522.713840983,0.1795432132459689
B0196,650,750,-80,357.4,1.077,3.65,4.38,16.11,84.84,1,1,28.26,1.42,64.35,22992860.066966675,4725213.353427847,0.2055078550326348
B0197,650,400,-10,503.7,0.526,2.09,3.47,9.36,72.39,3,9,22.86,2.62,59.56,29783602.661041614,5154390.339071152,0.1730613451210636
B0198,100,650,-60,595.2,1.252,3.13,3.37,9.92,80.36,1,2,39.16,2.43,67.07,40751553.9213002,7191802.035703438,0.1764792098380424
B0199,350,400,-30,459.0,0.665,2.15,4.47,15.03,76.9,3,8,30.6,3.29,57.4,27315919.21947377,5169650.3726961175,0.1892541243499734
B0200,500,650,-40,539.4,0.776,3.27,3.65,11.68,104.17,3,6,23.32,1.42,88.84,48221422.65003235,8704906.713167414,0.1805194918520632
B0201,700,650,-40,532.9,0.785,1.76,3.94,9.98,87.3,1,3,28.3,2.19,73.38,38393780.62932012,6588156.028994396,0.1715943551535331
B0202,800,300,-60,456.9,0.866,2.6,3.55,10.92,87.87,1,2,20.98,1.88,73.4,34548736.50538432,5548721.661748108,0.1606056320144545
B0203,700,400,-10,463.1,0.829,2.27,5.1,11.66,83.08,3,9,34.84,1.41,66.32,30605760.836816136,5702056.576919929,0.1863066436192247
B0204,450,550,-40,551.6,0.828,3.22,3.85,11.22,72.74,3,2,32.97,1.52,57.67,32161740.520697504,6020190.466715738,0.1871848466298482
B0205,300,400,-10,571.1,1.02,1.75,4.67,9.31,103.04,2,4,38.3,2.15,89.06,50437981.56802677,8771355.69967012,0.1739037809798159
B0206,750,650,-80,378.4,0.733,2.19,3.77,15.62,91.98,3,2,29.25,3.82,72.59,27489765.485380616,4870938.677085179,0.1771909869393248
B0207,750,900,-70,683.0,0.728,2.81,3.22,16.3,89.59,1,5,24.22,2.49,70.07,48322975.2555787,9829737.55111255,0.2034174737611535
B0208,850,50,-70,469.8,1.08,2.91,4.17,10.67,100.82,1,2,21.55,2.91,85.98,41298531.07822782,7578622.455808071,0.1835082812377181
B0209,0,450,-90,551.3,0.844,1.94,4.7,10.57,78.3,1,1,34.57,2.18,63.03,34668065.992285974,6593624.723320724,0.1901930359999856
B0210,700,700,-60,546.7,0.714,3.01,4.08,10.08,109.27,2,3,27.87,1.67,95.11,51478247.84067717,8845854.877101509,0.1718367514076824
B0211,300,750,-20,516.0,0.945,4.8,4.02,14.55,79.57,2,4,18.41,2.3,61.0,31831575.275434293,6316876.033179846,0.1984468559447899
B0212,350,700,-90,464.2,0.788,2.5,4.32,11.59,100.51,1,5,24.46,2.42,84.6,39646056.642072834,7660003.53128816,0.1932097207155599
B0213,600,200,-100,461.7,1.152,1.19,4.62,9.3,68.28,3,4,30.85,3.66,54.36,25176329.336249024,4983934.552847422,0.1979611279421708
B0214,0,200,-10,472.0,0.649,2.59,4.31,9.15,84.14,3,2,24.73,3.1,70.68,33121073.15054336,5754488.631650821,0.1737410078923248
B0215,150,50,-30,454.2,0.876,3.08,3.67,11.94,100.94,3,2,21.08,2.65,85.33,38923797.1574434,7213425.680408373,0.1853217365004418
B0216,100,450,-60,351.6,0.636,2.25,3.76,15.3,89.51,3,2,30.57,1.21,70.45,24966659.068543967,4702870.7194236405,0.1883660407470733
B0217,550,150,-70,559.9,0.788,2.83,4.53,11.56,107.09,1,6,36.46,2.9,91.0,51537066.25227993,9013792.95315952,0.1748992251331489
B0218,800,0,-80,436.3,0.69,2.04,3.68,11.09,78.38,2,10,29.68,3.23,63.61,27354447.30144616,5036985.898163419,0.1841377324372818
B0219,900,550,-40,722.5,0.821,3.18,4.03,9.88,93.79,3,3,27.85,2.18,79.88,57697643.0570405,10122628.547804514,0.1754426699509575
B0220,850,0,-40,550.2,0.749,2.85,4.73,11.67,68.05,1,3,40.35,2.97,51.65,28947312.03744941,5109621.816395421,0.1765145520173014
B0221,0,950,-20,503.4,0.672,2.88,4.3,11.54,94.28,1,6,23.88,3.12,78.44,39758345.07754855,6144630.278509119,0.1545494478335059
B0222,250,400,-70,550.2,0.637,3.08,4.13,12.81,83.69,3,1,26.93,2.3,66.75,36882246.19840383,6971337.413039058,0.1890160749846293
B0223,250,400,-80,413.8,0.825,2.48,3.43,11.88,66.87,3,6,26.04,2.26,51.56,21426478.134258486,3695709.060021813,0.172483272186146
B0224,700,750,-50,659.6,0.754,2.58,3.26,12.82,86.68,3,5,23.13,1.66,70.6,45943969.38886231,8073780.465721304,0.1757310169999926
B0225,850,0,-50,477.7,0.933,3.24,4.44,12.38,107.18,2,3,24.36,3.27,90.36,44226582.10836236,7648525.646102414,0.1729395599090672
B0226,500,900,-60,615.7,0.626,2.97,4.24,8.36,84.23,3,9,27.24,3.31,71.63,43910776.101238936,7315380.764500362,0.1665964807279723
B0227,450,0,-90,544.3,0.866,2.47,3.4,12.18,90.46,3,8,18.57,3.38,74.88,39911388.66783914,7508545.249268419,0.1881303933510801
B0228,300,200,-90,649.2,0.87,2.11,4.79,12.65,87.03,1,3,29.93,2.64,69.59,45611872.91331597,8168801.590351903,0.1790937549500866
B0229,650,900,-60,525.0,1.123,1.12,3.47,14.21,85.2,2,5,32.75,2.52,67.52,36036976.56970566,6977091.534688016,0.1936092369234238
B0230,750,400,-80,438.5,0.854,2.69,3.75,12.15,71.68,1,1,27.71,3.06,55.78,24222771.06950064,4400737.445058842,0.1816777045215894
B0231,250,900,-80,544.9,0.898,2.34,3.88,10.23,91.87,1,5,35.18,2.87,77.76,42263803.59033851,7476500.498016967,0.1769007960212575
B0232,600,650,-10,514.9,0.545,2.81,5.09,8.0,72.12,1,2,24.35,2.53,59.03,30369318.64789513,5665683.803158357,0.1865594638077611
B0233,850,850,-30,528.1,0.85,1.69,4.48,13.52,112.72,3,4,28.58,3.37,94.72,49455254.464415625,9792991.26723848,0.198017205113863
B0234,0,150,-100,528.6,0.609,3.44,4.31,10.05,70.41,3,3,29.05,3.87,56.05,29091452.596299868,5450471.141306897,0.1873564451023714
B0235,500,150,-60,397.4,0.55,3.42,3.8,11.79,105.05,3,9,26.86,4.3,89.46,35205161.0574527,5881198.700677574,0.1670550147769474
B0236,150,750,-60,557.3,0.782,3.09,3.76,12.7,62.36,3,5,26.69,1.64,45.9,24621381.622404844,5263274.704849048,0.2137684548156956
B0237,450,600,-20,358.7,0.884,2.73,3.6,12.0,84.55,3,8,29.74,2.79,68.95,24874420.41881304,4519421.38197878,0.1816895150071777
B0238,100,100,-100,547.6,0.934,1.89,5.3,12.51,77.53,1,1,23.33,2.91,59.72,33093209.30671821,6527441.40628857,0.1972441338581036
B0239,700,850,-100,543.3,1.107,4.29,3.6,12.28,72.43,2,6,29.84,2.75,56.55,30053785.548584927,6198222.190175089,0.2062376528292932
B0240,950,150,-80,588.4,0.723,3.26,3.48,10.45,95.17,2,7,24.13,3.81,81.24,48935750.62848234,8093017.882671308,0.1653804790716929
B0241,200,200,-50,501.9,0.682,2.49,3.99,9.07,94.56,2,4,30.26,2.83,81.5,39801262.58573623,7279446.205611978,0.1828948564114332
B0242,750,900,-20,384.0,0.669,1.51,5.27,14.57,64.89,3,7,21.69,4.64,45.05,17217551.909474473,3883760.5338125424,0.2255698460636199
B0243,450,650,-10,486.9,0.718,2.44,4.28,13.6,87.8,1,6,25.52,3.27,69.92,34570929.70538292,6598782.473162232,0.190876627542208
B0244,750,850,-40,492.4,0.697,2.39,3.95,9.94,89.66,2,6,32.79,1.25,75.77,37263380.72344171,6953827.652800088,0.1866129030108522
B0245,700,750,-10,575.2,1.007,3.02,3.61,9.36,88.93,2,3,22.9,2.89,75.96,44522795.51524199,8070664.802854889,0.1812703966464093
B0246,950,200,-20,632.9,1.126,2.36,4.7,12.78,82.13,2,3,23.43,2.13,64.65,41350830.77227364,7347965.323678135,0.1776981305199086
B0247,150,350,-90,605.9,0.864,0.79,4.96,10.39,71.68,3,2,28.7,3.67,56.33,34527779.10792985,6715300.172748904,0.1944897802942277
B0248,600,900,-60,481.5,0.865,1.73,3.54,10.18,105.45,3,3,29.77,2.48,91.73,43429859.26017799,7486416.644994318,0.1723794820550757
B0249,850,850,-100,447.2,0.787,3.28,3.86,11.24,88.41,2,7,33.7,1.93,73.31,33178890.77698381,5709169.886923656,0.1720723554412526
B0250,800,200,-30,608.8,0.836,1.81,3.76,12.29,67.19,3,2,24.39,2.7,51.14,31263839.47827487,6208367.616359714,0.1985798200081562
B0251,750,650,-80,429.1,1.002,1.68,3.83,12.92,111.75,3,5,20.23,2.25,95.0,40654479.25455026,7343007.232941606,0.1806198816854784
B0252,500,450,-40,429.8,0.647,3.02,4.23,15.24,48.83,2,4,26.27,1.58,29.36,12632423.17346612,2840914.8697571307,0.224890730048084
B0253,300,200,-100,558.5,0.716,2.62,3.69,14.37,66.46,3,4,31.8,1.58,48.4,26801396.503011703,5738156.1797652105,0.2140991488678736
B0254,50,600,-50,419.2,0.839,1.59,4.08,9.83,89.53,1,7,23.52,3.19,75.62,31831244.729310863,5277503.028233398,0.1657963134370854
B0255,900,550,-20,462.6,0.587,3.3,3.75,10.51,79.09,1,1,24.58,2.25,64.83,29822078.218251005,5686127.590015174,0.1906683883129004
B0256,700,850,-60,520.0,0.834,1.75,3.93,13.35,87.73,2,1,24.57,3.39,70.45,36596547.40577986,6336571.443114316,0.1731467007763019
B0257,0,500,-40,551.7,0.585,2.79,4.28,12.11,78.61,3,7,32.03,0.9,62.22,34843080.28489439,6615920.9473654125,0.1898776139557796
B0258,950,0,-40,540.4,0.858,3.26,4.55,13.96,81.04,2,4,26.63,2.34,62.53,33305697.7718491,6779247.912008333,0.2035461907583375
B0259,900,50,-30,476.5,0.809,2.36,4.33,10.02,67.98,3,1,27.93,3.64,53.63,25525415.569915805,4531007.784412566,0.1775096578546129
B0260,800,50,-60,440.4,0.825,2.79,4.31,12.09,88.51,1,2,21.4,3.09,72.11,32023446.86998285,5655412.921142199,0.1766022547199094
B0261,0,600,-70,383.1,0.849,1.23,6.03,12.89,70.44,3,4,33.22,3.01,51.52,19985882.676605582,3526497.959259599,0.1764494476587482
B0262,250,400,-100,504.6,0.965,3.18,4.35,15.27,88.37,1,5,26.69,2.95,68.75,34745261.99435234,6422497.507980927,0.1848452749910152
B0263,300,750,-30,471.9,0.739,2.43,5.05,11.45,97.43,3,7,21.41,1.49,80.93,37889881.2244444,7010163.751950819,0.1850141390105034
B0264,650,750,-50,656.0,0.805,3.5,4.38,14.02,94.38,1,10,32.49,2.91,75.98,50287892.48512442,10899125.394532362,0.2167345827379108
B0265,0,400,-100,432.0,0.705,1.35,3.84,11.11,82.71,2,2,33.54,3.36,67.76,29376893.306538858,5487879.881704144,0.1868094023571452
B0266,700,300,-60,510.8,0.83,1.59,4.95,12.32,69.49,3,4,33.54,1.75,52.22,26992364.08312658,5806386.78880133,0.2151121988025868
B0267,750,350,-10,431.1,0.823,2.64,4.88,10.51,72.06,2,5,31.74,1.62,56.67,24409071.862611905,4795034.387962452,0.1964447650837207
B0268,200,450,-90,386.0,0.634,1.59,4.41,12.0,76.89,3,4,20.91,3.16,60.48,22791985.219319347,4357649.532240066,0.1911921884078073
B0269,200,600,-50,514.0,0.955,2.44,4.5,10.68,104.78,2,10,29.9,2.66,89.6,46171174.60510812,8148392.574026711,0.1764822455507818
B0270,900,500,-100,392.8,0.894,2.0,4.07,12.57,80.74,1,7,30.46,1.79,64.1,25522795.745994423,4832505.836518866,0.1893407714661229
B0271,500,650,-70,510.1,0.986,2.26,4.66,10.04,58.74,2,2,28.54,3.98,44.04,22344514.658508863,4628590.547541844,0.2071466137564667
B0272,0,200,-80,459.2,0.894,2.05,4.37,10.01,71.77,1,6,33.85,2.17,57.39,26520501.17434026,4955955.757791691,0.1868726282815045
B0273,700,850,-50,418.3,0.958,1.5,4.22,9.08,99.51,2,10,24.19,3.1,86.21,36585126.06948106,6332976.789619071,0.1731025001141646
B0274,900,750,-40,514.1,0.673,1.72,3.26,14.88,91.26,2,3,36.5,0.95,73.12,38367763.56191743,7159114.851291629,0.1865919247479289
B0275,350,250,-60,538.9,0.762,2.77,5.29,15.62,100.57,1,4,25.39,2.72,79.66,41603691.07678408,8048152.853709904,0.1934480486083836
B0276,450,550,-30,615.8,0.642,1.34,5.22,14.55,71.65,1,8,27.11,1.99,51.88,31037818.75926371,7007075.814382658,0.2257592863960934
B0277,700,600,-80,392.8,0.935,2.93,4.06,14.46,84.45,3,6,25.14,2.98,65.93,25893943.98779925,5187705.456818229,0.2003443530758613
B0278,900,50,-80,542.8,0.79,1.72,3.92,9.37,62.63,3,10,31.66,3.53,49.34,26594589.74403584,4813555.26981358,0.1809975380760697
B0279,400,800,-90,406.4,0.757,3.32,4.12,10.28,78.17,3,7,30.39,3.5,63.77,26021162.23650432,4887903.318336798,0.1878433896960875
B0280,350,950,-20,578.0,0.859,1.72,4.18,13.83,117.48,2,3,34.69,2.42,99.47,57092746.03658062,10539335.789674472,0.184600260476553
B0281,200,950,-70,517.8,0.825,3.22,4.72,10.81,86.92,3,9,17.11,3.09,71.39,37148295.94708108,6787058.255501658,0.1827017385984551
B0282,600,150,-90,571.8,0.814,2.38,2.86,11.9,99.74,1,1,27.75,4.54,84.98,48173336.69436369,8408015.162712138,0.174536698922412
B0283,500,0,-40,479.0,1.1,2.59,4.38,9.43,76.43,3,1,30.55,2.42,62.62,29692582.825098827,5809335.366228107,0.1956493781779582
B0284,500,850,-30,599.6,0.651,3.17,3.26,12.6,79.46,3,5,30.83,2.4,63.6,37629777.58716951,7683538.565159942,0.2041877220071524
B0285,650,550,-80,418.7,0.688,2.77,3.35,16.65,92.71,1,4,25.93,1.65,72.71,31015296.304697696,5951378.011739009,0.1918852540782462
B0286,0,250,-20,510.0,0.916,2.44,4.5,14.42,114.38,1,5,28.88,2.82,95.46,48065534.33951624,8928793.293707505,0.1857629050919934
B0287,850,500,-70,564.2,0.75,2.2,4.2,12.38,77.1,3,1,30.35,2.11,60.52,33769794.24902009,6210526.246905633,0.1839077313029778
B0288,600,400,-40,575.5,0.634,1.01,4.52,9.64,107.82,1,6,23.61,1.95,93.66,54968264.365553305,9310347.556154933,0.1693767788307575
B0289,900,350,-20,414.1,0.425,3.69,3.49,9.38,111.66,1,4,23.43,1.0,98.79,41083084.34092253,6710011.083421397,0.1633278316627656
B0290,150,800,-40,474.7,0.718,1.75,3.21,13.02,76.08,3,1,31.76,1.72,59.85,28037084.864795502,5470256.731681484,0.19510789934335
B0291,0,200,-60,436.6,0.847,3.08,4.44,10.64,77.94,3,5,28.05,1.8,62.86,27523473.925062567,5073053.958632078,0.1843173566114636
B0292,750,150,-10,523.3,0.757,2.54,3.23,12.2,83.89,2,4,27.51,3.51,68.46,36479833.67117531,6328330.506948604,0.1734747631798815
B0293,150,200,-100,538.9,0.817,1.12,3.12,9.09,77.55,2,2,31.13,2.34,65.34,34336163.85432003,6171766.157529973,0.1797453607140061
B0294,300,700,-90,508.4,0.652,1.83,4.15,11.19,91.7,1,5,23.05,1.8,76.36,38973256.34953289,7286554.061409092,0.1869629264760275
B0295,450,250,-40,449.5,0.935,2.8,3.26,11.15,57.44,2,2,20.16,3.87,43.03,19427941.017039604,3938612.352731878,0.2027292727148724
B0296,50,200,-60,570.1,0.717,1.65,3.88,11.38,61.55,1,3,24.82,3.1,46.29,26295520.01382996,5192409.951075158,0.1974636724561539
B0297,250,600,-20,440.5,0.996,1.72,3.86,15.33,96.32,1,6,25.41,1.77,77.13,33587791.75091079,6691046.13091582,0.1992106590554403
B0298,400,900,-80,378.4,0.866,2.93,4.32,10.68,117.1,3,1,22.37,2.78,102.1,39012310.97534327,7072169.953853914,0.1812804670383073
B0299,300,100,-20,449.3,0.898,2.49,4.36,11.3,100.71,2,7,32.31,3.5,85.05,39836021.53006757,6494475.661871116,0.163030227729172
B0300,300,350,-10,447.0,0.875,3.32,5.29,12.04,61.81,1,2,25.39,2.06,44.48,19942929.81931001,3895580.6695320215,0.1953364277379181
B0301,900,650,-50,450.4,0.778,2.25,3.43,11.86,70.24,2,8,31.41,2.66,54.95,25410563.31134315,5069869.210076536,0.1995181747038788
B0302,300,700,-10,519.1,0.829,1.17,2.95,17.19,77.86,2,3,36.91,1.08,57.72,30105927.595067546,6142721.440858082,0.2040369432717457
B0303,750,350,-10,432.3,0.783,1.75,2.83,12.28,61.54,1,9,30.13,2.92,46.43,19572149.394774325,4075299.4222446736,0.2082193089805844
B0304,850,350,-80,565.5,1.002,2.71,4.43,12.63,48.21,2,1,24.0,4.08,31.15,17990035.30781231,3888978.9749136544,0.2161740601601174
B0305,300,600,-100,509.6,0.595,2.09,4.54,9.64,93.17,3,4,29.58,3.53,78.99,40927517.56120196,6887743.3300793385,0.1682912558715437
B0306,750,200,-10,477.4,1.078,3.31,4.5,12.25,61.38,2,6,36.73,2.41,44.63,21154708.99917833,4219916.458777176,0.199478823317356
B0307,800,600,-20,539.5,0.681,1.65,4.95,12.28,78.49,3,7,34.79,1.89,61.26,32856703.61078022,6425498.550437507,0.1955612658699369
B0308,0,550,-80,426.2,0.845,2.86,3.51,13.59,66.23,1,8,39.22,2.77,49.13,20956987.74702069,4045401.6390189063,0.1930335450806384
B0309,550,500,-90,500.4,0.778,2.06,3.9,12.34,97.55,2,7,25.97,3.79,81.31,41016528.64782715,8052383.840344239,0.1963204616724876
B0310,50,700,-100,446.9,0.863,1.95,3.51,10.5,80.05,1,2,25.75,2.3,66.04,29693245.164070606,5774291.451266963,0.1944648157977009
B0311,400,700,-70,481.4,0.875,1.93,2.57,13.81,74.26,1,5,31.22,2.55,57.88,28495662.642959934,5020225.48044028,0.1761750741978469
B0312,900,500,-40,479.5,0.933,1.68,4.4,11.59,111.49,1,3,22.46,1.72,95.5,45483778.354644336,7864803.289150744,0.1729144669518791
B0313,0,400,-80,446.1,0.733,2.07,4.57,13.51,83.5,1,8,28.58,1.97,65.42,29313487.58632968,5699777.965328,0.1944421641587979
B0314,550,800,-10,431.3,1.016,3.37,3.76,11.07,76.97,3,4,24.17,2.26,62.14,26806510.84767273,5241574.840857964,0.1955336474277861
B0315,650,950,-50,495.6,0.971,4.88,3.82,9.39,84.78,2,9,22.79,2.24,71.57,36217859.35400696,6497986.606574537,0.1794138781936496
B0316,600,100,-80,496.2,0.761,2.77,4.08,14.22,99.83,1,10,24.22,1.91,81.53,39611695.474602245,7119481.598270265,0.1797318068052666
B0317,450,0,-20,594.8,1.112,2.58,4.37,13.27,96.06,3,7,30.27,1.95,78.42,46121243.383448765,8699817.694741046,0.1886292965350343
B0318,0,650,-40,528.7,0.7,2.28,4.05,15.15,89.52,2,4,25.12,3.48,70.32,37708043.32019489,7480783.446536365,0.1983869431519922
B0319,400,300,-50,320.1,0.922,1.77,3.91,13.0,76.89,2,5,29.39,2.95,59.98,19416996.58288203,3512445.5052736923,0.1808954072933326
B0320,700,900,-70,423.2,0.82,3.24,4.87,8.34,68.14,1,10,33.34,3.26,54.93,23332653.46551045,4352834.400419981,0.1865554814352424
B0321,750,900,-70,497.6,0.686,2.5,4.3,11.69,109.08,2,8,31.39,3.13,93.09,47164885.00040129,8310514.856044807,0.176201317059802
B0322,550,0,-70,510.6,1.193,1.62,4.86,13.74,94.81,1,7,34.02,3.28,76.21,38850897.098545305,7422353.066507058,0.1910471474488802
B0323,850,350,-60,473.2,0.85,4.0,4.63,13.1,98.81,3,8,30.92,3.14,81.08,38699403.24981486,6768484.016707697,0.1748989247460832
B0324,150,950,-100,464.3,0.745,4.01,3.49,10.57,107.66,2,5,26.9,3.8,93.6,43601655.48691712,7333052.108829527,0.1681828826666878
B0325,700,800,-40,499.1,0.835,3.0,5.14,8.4,90.97,1,1,36.98,4.26,77.43,38907602.19201553,6399663.309125941,0.1644836214152322
B0326,750,300,-20,599.1,0.939,1.6,3.87,10.19,115.34,3,9,24.56,2.83,101.28,60607907.01388568,9867699.696192682,0.1628120847983073
B0327,600,100,-50,580.3,0.658,1.82,4.28,11.17,67.15,1,4,25.91,3.43,51.7,29491481.395847406,6092372.117257081,0.2065807422652877
B0328,900,750,-90,506.7,0.799,1.64,4.48,12.12,84.1,2,1,17.27,1.17,67.5,34432121.81368541,6492584.189018399,0.1885618383946891
B0329,550,200,-40,524.4,0.898,4.01,3.75,15.17,76.58,3,9,27.49,2.4,57.66,30120260.83741272,5956452.8792419,0.1977556871567102
B0330,450,400,-80,426.1,0.892,1.57,4.2,11.1,96.67,1,4,17.34,3.38,81.37,34871096.85920739,6125054.9365626415,0.1756484736139115
B0331,100,100,-50,436.4,0.829,2.02,4.82,10.01,49.81,3,3,24.68,0.94,34.98,15385081.490764266,3145920.9276289428,0.2044786652262747
B0332,600,550,-20,429.0,0.482,3.04,4.57,10.58,63.45,3,6,28.69,3.68,48.3,20486042.07573553,3986596.461322754,0.1946006186350966
B0333,550,850,-10,492.6,0.724,2.38,3.72,14.81,64.72,3,6,33.75,1.14,46.19,23144849.313135184,4994149.7248337,0.2157780185675875
B0334,450,550,-30,334.9,0.941,1.37,3.62,14.66,64.83,2,6,24.69,3.9,46.55,15634460.215494985,3082271.484567804,0.1971460122117314
B0335,700,350,-50,496.2,0.992,2.96,4.05,15.03,75.67,2,2,32.8,4.15,56.59,27939080.831474,5662114.93854708,0.2026593134076401
B0336,800,50,-10,542.0,0.818,3.91,4.47,11.31,91.78,2,7,20.28,1.03,76.0,40759034.04065546,6634176.480326428,0.1627657925776432
B0337,200,250,-60,571.1,0.744,1.87,4.47,9.7,75.41,2,5,24.19,3.03,61.24,34807817.35186887,5880117.670138148,0.1689309505016245
B0338,150,700,-70,488.1,0.836,1.95,4.55,10.82,77.7,2,8,27.74,2.58,62.33,30960158.345915884,5696612.708580056,0.1839981774295907
B0339,600,50,-30,365.1,0.963,3.4,4.4,15.35,89.03,3,5,30.27,3.4,69.28,25140475.81850365,4584273.316709148,0.1823463227110074
B0340,650,500,-50,434.3,0.773,3.1,3.06,8.46,118.34,3,4,33.73,2.46,106.82,46153185.06766623,7085011.851298223,0.1535107889284505
B0341,750,0,-30,543.5,1.255,1.62,3.8,14.45,84.3,2,5,26.48,2.42,66.05,35978048.79849502,6710672.561686684,0.1865213035668403
B0342,100,600,-20,352.4,0.521,4.14,3.78,8.23,80.11,1,4,29.03,3.25,68.1,23955173.178205207,3971790.658180596,0.1658009578404632
B0343,300,500,-70,488.5,0.946,1.78,5.16,9.24,93.25,1,4,28.63,3.49,78.85,38398215.74655802,6651733.985541838,0.1732302883406267
B0344,750,700,-10,498.5,0.737,2.93,5.23,11.6,97.98,2,9,24.28,1.31,81.15,41272479.55878405,7065237.91222056,0.1711852059229346
B0345,200,550,-90,574.4,0.591,1.42,3.95,11.97,74.27,2,5,34.19,3.37,58.35,33036964.40471751,6608683.9156863205,0.200039078491807
B0346,500,850,-40,477.9,0.862,3.15,4.97,9.93,64.98,3,6,33.34,3.09,50.08,23896683.959952693,4949687.031102022,0.2071286141372989
B0347,300,550,-30,465.5,0.792,1.69,4.09,12.09,78.94,3,9,22.27,2.35,62.76,29636222.117665157,5250016.484594741,0.1771486414074816
B0348,550,800,-70,313.3,0.742,2.11,4.34,8.0,113.93,2,10,30.76,1.28,101.59,31597103.834610198,5407413.738403064,0.1711363727102102
B0349,450,950,-90,552.0,0.714,1.87,4.26,11.9,69.7,2,5,33.97,2.18,53.54,29039139.17516261,5656508.500864866,0.1947891246618949
B0350,650,900,-20,403.1,0.783,1.06,5.43,10.3,95.62,1,4,31.35,2.82,79.89,31930989.065667897,5559697.40449405,0.1741160410991409
B0351,900,250,-80,415.3,0.847,1.66,4.5,10.46,103.7,1,8,22.44,0.82,88.74,37609070.35990504,6850075.736431356,0.1821389274150793
B0352,450,150,-80,517.8,0.884,2.32,3.98,10.99,98.4,3,3,22.43,3.2,83.43,42839481.67224684,7540983.293856853,0.1760288173314246
B0353,750,750,-20,375.1,1.063,1.46,5.6,12.23,83.87,1,10,23.08,2.33,66.04,24352261.77775366,4540556.346665892,0.1864531675991506
B0354,150,650,-30,590.0,1.014,1.1,4.15,14.62,60.28,3,9,28.27,4.1,41.51,24238975.714898933,5259409.479160108,0.2169815070167059
B0355,250,50,-70,588.6,0.799,2.52,4.42,11.53,83.68,1,5,19.11,2.75,67.73,39610859.45301963,7228375.264117188,0.1824846863696655
B0356,250,450,-10,448.7,0.545,4.25,3.95,13.51,59.44,2,5,33.41,1.48,41.98,19173965.65074616,4218116.209188124,0.2199918517651029
B0357,900,500,-70,493.1,0.697,2.82,3.79,8.91,76.64,1,9,28.68,3.19,63.94,30960581.480372496,5408720.983686389,0.1746970090699122
B0358,850,450,-100,347.7,1.222,3.26,4.22,11.54,83.14,3,2,15.0,2.65,67.38,22823557.361918405,4475665.181255951,0.1960984920222688
B0359,100,750,-100,439.9,1.119,2.54,4.25,14.47,83.71,1,1,38.95,2.45,64.99,28079626.251521688,4873011.245579104,0.1735425963981634
B0360,350,550,-20,560.1,0.871,2.59,4.4,11.95,79.21,3,1,21.18,4.01,62.86,36655965.27337613,6762804.855262801,0.1844939781240666
B0361,800,350,-100,572.9,0.752,2.4,2.5,10.29,63.18,3,1,35.05,1.75,50.39,28761226.187625878,5132578.246846415,0.1784547784355118
B0362,100,50,-90,445.2,0.654,2.32,3.97,11.99,81.19,3,8,30.3,3.44,65.23,28756845.84907794,5644112.293216198,0.1962702141548382
